year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1964,35.8,62.4,66.9,110.8,159.4,151.2,118.9,137.2,116,68.1,47.7,34.9,133.1,337.1,407.3,231.7,1109.3
1965,61.1,69,105.3,151.6,139.4,140.5,141,140.9,74.4,85.4,73.8,41.5,165,396.3,422.4,233.6,1223.8
1966,30.2,31.9,100.9,113.4,197.1,104.2,179.4,144.4,83.2,78.2,58.2,28.4,103.6,411.4,428,219.6,1149.5
1967,44.7,57.5,89.1,136.9,134.2,202.3,105.6,132.5,96.6,82.2,45.5,48,130.5,360.2,440.4,224.3,1175
1968,29.7,81,84.7,166.8,146.4,196.1,134.1,172.9,100.9,51.4,51.4,31.3,158.7,397.9,503.1,203.8,1246.8
1969,26,71.9,94.2,174.1,135.1,210.4,153.8,159.2,99.8,68.6,50.7,30.4,129.2,403.4,523.5,219.1,1274.2
1970,25.4,102.1,124.2,133,128.2,219.3,102.4,152.4,82,71.7,48.7,42.3,157.9,385.4,474.1,202.4,1231.6
1971,28.7,44.2,83,140.9,200.2,163.9,195.7,115.1,126.2,89.5,53.3,26.3,115.1,424.1,474.7,269,1267
1972,36.1,50.7,95.1,146.9,137.4,157.2,180,142.5,135.2,98,49,21.7,113.1,379.5,479.6,282.2,1249.7
1973,22.9,71.6,112.6,160.6,144.7,160.7,147.7,135.3,108,86,56,33.7,116.2,417.9,443.7,250,1239.7
1974,26.5,49.9,92.7,204.3,174.2,211,135.7,133.4,105.2,89.1,49.8,24.5,110.1,471.3,480.1,244,1296.2
1975,25.5,80.2,124,128.7,264,237.3,161.1,162.2,99.4,64.6,53.7,35.1,130.2,516.6,560.6,217.7,1435.7
1976,39.5,35.6,78.9,139,124.8,156.5,190.7,240.6,93.1,64.2,55.7,44.8,110.2,342.6,587.8,213,1263.3
1977,48.9,62.2,67.8,141.7,221.7,216.7,199.8,182.3,90.4,74,61.5,33.1,155.8,431.1,598.8,225.8,1400
1978,47.8,77.9,78.3,117.5,198.5,163.3,155.9,92.7,76.3,73.8,41.5,28.5,158.8,394.3,411.9,191.6,1151.9
1979,46.3,80.5,94.1,126.6,162.1,166.1,98.5,138.3,115.9,61.7,45,38,155.2,382.8,402.8,222.6,1173
1980,38.2,35.8,84.6,180.5,254.9,114.5,116.2,104.1,73.2,75.3,49.3,24.5,112,520,334.8,197.8,1151.1
