year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1908,182,128.6,177.2,63,92.2,95.4,119.9,135.1,198.5,53.8,131.2,176.9,510.3,332.4,350.4,383.5,1553.8
1909,182.6,99.2,82.4,126.4,90.6,79.8,148.1,98.2,74.4,249.2,95.1,193.8,458.7,299.4,326,418.7,1519.7
1910,159,209.2,95.5,130.5,85.2,62.2,136.8,229.1,49.4,87.3,125.5,172.5,562,311.1,428,262.1,1542
1911,117,206.6,55.9,128.7,95.5,86.8,97.3,107.3,85.4,118.9,196.9,275.5,496.1,280.2,291.4,401.2,1571.9
1912,145.7,117,174.1,72.3,57.3,166,94.6,127.1,89.8,159.5,151.4,305.8,538.2,303.8,387.7,400.6,1660.6
1913,167.8,108.7,186.5,131.4,119.5,107.3,32.4,54.2,81,111.6,207,150.4,582.2,437.5,193.9,399.6,1457.8
1914,141.2,224,175.8,103.7,68.5,39.4,86,144.3,78.1,67.8,196.3,254.5,515.5,348,269.6,342.2,1579.5
1915,150.1,222.7,88.2,120.2,37,53.5,136.4,84.7,47.2,96.3,83.7,207.2,627.3,245.5,274.7,227.2,1327.3
1916,220.4,182,52.2,123.4,138.4,66.2,108.6,120.3,63.3,246.5,184.9,171.4,609.6,314.1,295.1,494.8,1677.7
1917,88.2,40.4,85.8,71.9,109,91.6,60,165.4,121.5,281.4,256,109.7,300,266.7,316.9,658.9,1480.9
1918,172.2,225.2,59.3,34.8,84,60.6,117.6,126.8,201.1,227.3,193.7,207.5,507.1,178,305,622.1,1710
1919,148.8,32.4,126.8,97.7,35.8,137.6,42.6,117.8,143.3,57.3,138.6,271.3,388.7,260.3,298,339.3,1350.1
1920,225.8,207.2,174.5,84.4,169.6,72.7,135,150.8,106.1,106.3,161.9,160.3,704.4,428.4,358.4,374.3,1754.4
1921,274.5,53.8,237.9,56.7,95.8,26.7,144.4,182.7,85.1,153.9,100.7,258.8,488.6,390.5,353.9,339.6,1671.1
1922,178.8,182.5,76.9,94.9,137.5,93.9,129.6,110,87,83.1,119.8,165.2,620,309.2,333.5,289.9,1459.2
1923,182.6,182.8,76.3,112.1,77.4,69.1,152.5,222.8,233,247.3,168.3,183.5,530.6,265.8,444.4,648.6,1907.7
1924,176.3,46,31.9,101.1,129.4,89.7,154.1,150.9,198.9,119.5,128.1,251.9,405.8,262.3,394.6,446.6,1577.7
1925,161.1,161.9,75.3,172.9,213.6,32.2,78,117.7,117.9,156.6,54.4,141.6,574.9,461.8,227.9,328.9,1483.2
1926,236.2,169.2,129.8,82.4,95.6,97.3,119.8,149.9,140,193.7,213.1,103.7,547.1,307.9,367,546.9,1730.9
1927,234.1,107,132.7,121.1,91.7,141.1,127.6,164.6,208.6,187.6,178.3,44.4,444.8,345.4,433.3,574.5,1738.7
1928,357.1,165,149,77.5,45.7,156.7,123.2,159.5,127.1,252.9,232.3,182.8,566.6,272.1,439.5,612.4,2028.9
1929,63,71.4,35.4,50.9,118.8,101.4,138,200.5,66.2,225.4,240,368.9,317.2,205.2,440,531.6,1680
1930,246.8,12.3,107.1,66.3,65,100.6,109.4,211.2,118.7,260.3,202.3,180.3,628,238.4,421.2,581.3,1680.3
1931,180.5,160.5,38.6,72.8,111,177.7,142.7,68.5,54.6,141.9,262.3,178.5,521.2,222.5,388.9,458.8,1589.7
1932,268.3,3.1,93.3,134.2,85.5,56.2,142.2,79.9,161.2,226.8,158.1,272.7,449.9,312.9,278.3,546,1681.3
1933,181.1,139.7,98.6,93.4,83.4,81.2,138.4,123.8,37,118.5,80.3,55.5,593.5,275.3,343.4,235.7,1230.7
1934,228.1,29.7,96,114.5,111.2,77.2,91.8,158.8,202.6,252.6,52.9,243.5,313.2,321.7,327.8,508.2,1659
1935,97,195.8,72.1,110.3,25.9,126.7,72.5,96.1,210.6,298.4,181.1,118.2,536.3,208.3,295.3,690.2,1604.7
1936,150.3,88.3,94,42.2,69.5,71.5,171.4,97,132.1,179.2,140.6,243.2,356.8,205.7,339.9,451.9,1479.4
1937,225.3,173.4,53.2,81.6,58.8,100.7,148.5,105.7,120.1,112.9,38.1,100,641.9,193.6,354.9,271.1,1318.4
1938,253.1,114.9,151,22.1,114.3,187.5,163.3,93.9,140.3,296.6,297.5,158.9,468,287.5,444.7,734.4,1993.6
1939,137.5,209.7,131,74.3,36.5,80.3,175.1,66.4,88.7,80,265.7,99.1,506.2,241.8,321.8,434.3,1444.2
1940,80,69.9,152.2,84,49.3,39.6,145.2,82.5,146.6,194.9,217.4,215.7,248.9,285.5,267.2,558.9,1477.2
1941,30.2,128.4,87.7,66.9,80.9,36.1,110.1,174.1,74.7,156.8,146.6,105.3,374.4,235.4,320.3,378.1,1197.8
1942,204.9,69.7,105.5,77.9,97.6,61.2,126.7,176.7,195.5,202.5,48.4,247,379.9,281,364.5,446.5,1613.5
1943,189.5,170.7,85,130.5,116.4,127.2,92.5,201,126.1,287.7,113.1,106.4,607.3,331.9,420.7,526.9,1746.2
1944,194,66.2,37.2,97.6,109,126.2,106.7,109.6,166.8,179.7,237.3,199.9,366.6,243.8,342.6,583.9,1630.4
1945,129,226.1,114.6,70.3,137.2,136.5,110.9,65.9,179.8,166.9,20.7,150.5,555,322.1,313.3,367.4,1508.4
1946,222.2,114.9,95.6,63,35.9,118.8,132.6,127.5,218.6,20.8,203.5,178.3,487.7,194.5,378.8,442.9,1531.7
