ID,Age,Height,HeightClass,Weight,BMI,Reach,ReachClass,Stance,WeightClass,T_Wins,T_Losses,T_Fights,Success,W_by_Decision,W_by_KO/TKO,W_by_Sub,L_by_Decision,L_by_KO/TKO,L_by_Sub,PWDec,PWTko,PWSub,PLDec,PLTko,PLSub,Available,TTime,Time_Avg,TLpM,AbpM,SubAtt_Avg
d3df1add9d9a7efb,33.88,75,Tall,260,32.494,79,Above,Orthodox,Heavyweight,21,6,28,0.75,2,18,1,2,3,1,0.071,0.643,0.036,0.071,0.107,0.036,16,151.599,9.475,3.048,2.302,0
fa6796c55d6c5440,27.85,76,Tall,265,32.253,80,Above,Orthodox,Heavyweight,10,2,13,0.769,2,8,0,0,2,0,0.154,0.615,0,0,0.154,0,8,73.349,9.169,7.43,2.413,0
8d03ce87ca14e778,32.31,76,Tall,250,30.428,83,Above,Orthodox,Heavyweight,12,3,15,0.8,0,8,4,3,0,0,0,0.533,0.267,0.2,0,0,9,65.383,7.265,2.631,1.942,0.459
279566840aa55bf2,30.17,79,Tall,250,28.161,80,Above,Orthodox,Heavyweight,30,7,37,0.811,7,20,3,3,2,2,0.189,0.541,0.081,0.081,0.054,0.054,5,74.95,14.99,7.859,2.708,0
b4ad3a06ee4d660c,38.62,76,Tall,265,32.253,80,Above,Orthodox,Heavyweight,44,17,61,0.721,5,22,17,3,13,1,0.082,0.361,0.279,0.049,0.213,0.016,45,275.017,6.111,7.01,2.084,1.091
63def5a5662a6917,34.91,76,Tall,238,28.967,77,Above,Orthodox,Heavyweight,20,5,25,0.8,5,14,1,1,3,1,0.2,0.56,0.04,0.04,0.12,0.04,18,216.418,12.023,5.277,3.133,0.069
98c23cb6da5b3352,41.53,74,Tall,240,30.811,80,Above,Orthodox,Heavyweight,57,11,69,0.826,4,8,45,4,5,2,0.058,0.116,0.652,0.058,0.072,0.029,8,45.166,5.646,6.819,3.277,2.657
c9cf753cfdf77fc2,33.13,75,Tall,249,31.119,78,Above,Orthodox,Heavyweight,17,24,41,0.415,4,7,6,2,22,0,0.098,0.171,0.146,0.049,0.537,0,7,102.45,14.636,6.569,2.987,0.146
eef9b891edbd4604,44.77,70,Average,265,38.019,72,Below,Orthodox,Heavyweight,13,14,28,0.464,3,10,0,2,5,7,0.107,0.357,0,0.071,0.179,0.25,29,276.348,9.529,4.527,3.105,0.217
c62fbc117d57b943,25.78,74,Tall,264,33.892,75,Above,Southpaw,Heavyweight,8,1,9,0.889,1,7,0,0,1,0,0.111,0.778,0,0,0.111,0,4,29.383,7.346,4.458,3.063,0
2f5cbecbbe18bac4,37.32,75,Tall,235,29.37,76,Above,Orthodox,Heavyweight,19,4,23,0.826,7,8,4,1,2,1,0.304,0.348,0.174,0.043,0.087,0.043,6,70.05,11.675,4.311,2.241,0.214
3738e68d2261e60f,39.9,75,Tall,240,29.995,77,Above,Orthodox,Heavyweight,27,17,45,0.6,7,17,3,6,10,1,0.156,0.378,0.067,0.133,0.222,0.022,33,269.082,8.154,4.296,2.62,0.334
ebc1f40e00e0c481,30.85,83,Tall,265,27.042,84,Above,Orthodox,Heavyweight,28,11,39,0.718,2,8,17,3,7,1,0.051,0.205,0.436,0.077,0.179,0.026,21,165.251,7.869,4.224,3.915,1.815
ce1e867808ef5fce,31.44,73,Tall,264,34.827,78,Above,Southpaw,Heavyweight,8,1,9,0.889,4,4,0,0,1,0,0.444,0.444,0,0,0.111,0,4,47.55,11.887,5.762,2.923,0
ab943cd2c3c17825,33.51,73,Tall,205,27.044,75,Above,Orthodox,Heavyweight,16,5,22,0.727,2,11,3,1,1,3,0.091,0.5,0.136,0.045,0.045,0.136,9,50.132,5.57,6.064,2.992,0.898
1788eee370f077b7,32.22,71,Average,250,34.864,73,Above,Southpaw,Heavyweight,16,2,19,0.842,4,6,6,1,0,1,0.211,0.316,0.316,0.053,0,0.053,1,25,25,2.04,4.4,0
c482c8605455a213,27.78,75,Tall,264,32.994,74,Above,Orthodox,Heavyweight,14,4,18,0.778,2,6,6,1,0,3,0.111,0.333,0.333,0.056,0,0.167,3,19.6,6.533,5.714,6.173,0
03f982ca3735070c,35.55,77,Tall,250,29.642,77,Above,Southpaw,Heavyweight,11,6,18,0.611,0,11,0,3,2,1,0,0.611,0,0.167,0.111,0.056,10,69.499,6.95,3.453,2.633,0.216
441eacbe20e0e80b,27.63,76,Tall,265,32.253,NA,Below,Orthodox,Heavyweight,12,1,14,0.857,2,10,0,1,0,0,0.143,0.714,0,0.071,0,0,1,14.05,14.05,8.897,5.623,0
85ff1b9471d35238,29.47,75,Tall,240,29.995,77,Above,Orthodox,Heavyweight,11,0,11,1,2,6,3,0,0,0,0.182,0.545,0.273,0,0,0,1,9.483,9.483,5.589,2.531,3.164
f14cf73e51b29254,26.62,75,Tall,257,32.119,84,Above,Southpaw,Heavyweight,12,1,13,0.923,3,9,0,0,1,0,0.231,0.692,0,0,0.077,0,1,4.35,4.35,4.138,5.057,0
efa1f6b42c86793c,26.89,77,Tall,250,29.642,81,Above,Orthodox,Heavyweight,10,2,12,0.833,1,3,6,2,0,0,0.083,0.25,0.5,0.167,0,0,3,36.983,12.328,3.191,1.866,0.406
7e511f8d842a109d,32.62,73,Tall,245,32.32,75,Above,Orthodox,Heavyweight,8,1,9,0.889,5,3,0,0,0,1,0.556,0.333,0,0,0,0.111,3,36.983,12.328,5.435,2.379,0
