year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1931,180.5,160.5,38.6,72.8,111,177.7,142.7,68.5,54.6,141.9,262.3,178.5,1589.7
1932,268.3,3.1,93.3,134.2,85.5,56.2,142.2,79.9,161.2,226.8,158.1,272.7,1681.3
1933,181.1,139.7,98.6,93.4,83.4,81.2,138.4,123.8,37,118.5,80.3,55.5,1230.7
1934,228.1,29.7,96,114.5,111.2,77.2,91.8,158.8,202.6,252.6,52.9,243.5,1659
1935,97,195.8,72.1,110.3,25.9,126.7,72.5,96.1,210.6,298.4,181.1,118.2,1604.7
1936,150.3,88.3,94,42.2,69.5,71.5,171.4,97,132.1,179.2,140.6,243.2,1479.4
1937,225.3,173.4,53.2,81.6,58.8,100.7,148.5,105.7,120.1,112.9,38.1,100,1318.4
1938,253.1,114.9,151,22.1,114.3,187.5,163.3,93.9,140.3,296.6,297.5,158.9,1993.6
1939,137.5,209.7,131,74.3,36.5,80.3,175.1,66.4,88.7,80,265.7,99.1,1444.2
1940,80,69.9,152.2,84,49.3,39.6,145.2,82.5,146.6,194.9,217.4,215.7,1477.2
1941,30.2,128.4,87.7,66.9,80.9,36.1,110.1,174.1,74.7,156.8,146.6,105.3,1197.8
1942,204.9,69.7,105.5,77.9,97.6,61.2,126.7,176.7,195.5,202.5,48.4,247,1613.5
1943,189.5,170.7,85,130.5,116.4,127.2,92.5,201,126.1,287.7,113.1,106.4,1746.2
1944,194,66.2,37.2,97.6,109,126.2,106.7,109.6,166.8,179.7,237.3,199.9,1630.4
1945,129,226.1,114.6,70.3,137.2,136.5,110.9,65.9,179.8,166.9,20.7,150.5,1508.4
1946,222.2,114.9,95.6,63,35.9,118.8,132.6,127.5,218.6,20.8,203.5,178.3,1531.7
1947,167.7,21.8,127.6,214,128.7,123.7,138.1,3.3,165.1,75.8,236.7,92.2,1494.8
1948,242.6,151.7,147.8,104.4,50.4,157.7,127.5,205.4,223.6,216.9,137.2,231,1996.3
1949,185.6,170.6,85,183.9,74.1,39.1,75.2,151.3,79.7,226.2,197.9,299.9,1768.6
1950,132.4,163.9,118.6,130.6,55.8,101.5,178.7,193.3,326.2,173,134.6,79.9,1788.6
1951,187.8,112.8,115.1,103.1,55.2,64.2,115.6,170.4,139.2,50.5,250.3,281.6,1645.7
1952,178.8,62.2,112.6,80.7,65.3,108.4,108,157.5,105.6,167.7,84.9,176.7,1408.4
1953,95.5,79.9,42.2,89.2,93,48.8,188.2,139,197.5,133.7,263.2,171.8,1542
1954,176.3,140.5,121.2,56.3,113.9,129.9,130.3,151.6,228.1,294.9,270.6,238.1,2051.7
1955,114,94.2,56.6,100.1,106.5,101.5,47.6,49.2,156.9,135.2,83,236.1,1281
1956,122.5,53.8,78.8,53.7,92.3,99.4,169.8,193.1,150.9,127.8,96,234.8,1472.7
1957,228,121,154.9,72.5,71.7,74.7,156.4,149.3,120.4,183.4,78.9,186.5,1597.7
1958,190.9,117.4,41.7,65.2,111,97.8,141.3,156.4,145.7,152.9,67.7,182.4,1470.5
1959,69.5,63.5,105.1,119,45.2,102.8,178.1,50.1,53.6,192.2,215.6,260.5,1455.1
1960,140.1,159.4,71.9,139.2,71.8,81.9,131,128,103.4,101.7,220.5,193.6,1542.4
1961,153.2,165.3,104,138.9,71.8,82.6,129.4,209.4,200.5,232.9,138.3,120.1,1746.4
1962,292,147.8,60.1,92,77.7,92.6,90.7,236.7,213.8,92.8,98.3,173.6,1668.3
1963,21.3,34.1,216.3,107.1,145.7,96.8,94.4,134.2,138.9,193.4,229.8,58.6,1470.7
1964,86.2,45.1,67.5,113.4,130.1,102.8,117.3,156.8,181.5,134.9,158.3,211.1,1504.9
1965,191.8,30.7,102.6,124.1,98.4,150.3,125.6,152.5,177.3,164.6,89.2,208.9,1615.9
1966,101.4,154.8,150.3,87,126.4,128.9,63,110.4,161.3,120.9,158.3,256.6,1619.4
1967,133.9,159.8,186.2,85.8,149.1,87.4,142.4,101.2,171.4,299.1,135.7,131.4,1783.3
1968,164.4,78.3,175.1,68.8,100.9,65.2,95.5,89.1,180.6,236.1,114.5,84.9,1453.4
1969,142.7,62.9,31.7,66,97.3,104,102.2,84.2,110.6,146.3,201,151.9,1300.8
1970,130.1,157.6,91.9,118,82,80.2,167.1,109,200.2,224.1,215.3,92.5,1667.9
1971,132.5,132,94.9,61.9,76.2,74.6,86.3,123.9,66.5,194.6,154.3,118.3,1316
1972,179.1,106.1,93.1,180.1,142.7,150.9,75.3,82.7,26.9,84.8,195.9,174.9,1492.4
1973,142.8,130.5,84.9,79.6,103,99.2,86.1,123.9,95.9,81.7,169,207.9,1404.5
1974,316.3,149.4,77.5,10.9,85.4,79.3,120.4,122.7,188.4,82.5,226.3,280.7,1739.8
1975,319.7,63.5,57,94.9,36.5,70.2,120.6,80.1,212.4,118.4,170.5,90.1,1434
